dbpedia_id	dbpedia_label	inpe_id
Pimenteiras_do_Oeste	Pimenteiras do Oeste	Pimenteiras do Oeste
Pinheiro,_Maranhão	Pinheiro (Maranhão)	Pinheiro
Piraquê	Piraquê	Piraque
Piçarra	Piçarra	Piçarra
Placas	Placas	Placas
Plácido_de_Castro,_Acre	Plácido de Castro (Acre)	Placido de Castro
Poconé	Poconé	Pocone
Pontes_e_Lacerda	Pontes e Lacerda	Pontes E Lacerda
Portel,_Pará	Portel (Pará)	Portel
Porto_Acre	Porto Acre	Porto Acre
Porto_Alegre_do_Norte	Porto Alegre do Norte	Porto Alegre do Norte
Porto_Esperidião	Porto Esperidião	Porto Esperidiao
Porto_Grande	Porto Grande	Porto Grande
Porto_Velho	Porto Velho	Porto Velho
Porto_Walter	Porto Walter	Porto Walter
Porto_de_Moz	Porto de Moz	Porto de Moz
Porto_dos_Gaúchos	Porto dos Gaúchos	Porto dos Gauchos
Pracuúba	Pracuuba	Pracuuba
Prainha,_Pará	Prainha (Pará)	Prainha
Presidente_Figueiredo	Presidente Figueiredo	Presidente Figueiredo
Presidente_Juscelino,_Maranhão	Presidente Juscelino (Maranhão)	Presidente Juscelino
Presidente_Médici,_Maranhão	Presidente Médici (Maranhão)	Presidente Medici
Presidente_Sarney,_Maranhão	Presidente Sarney (Maranhão)	Presidente Sarney
Primavera_de_Rondônia	Primavera de Rondônia	Primavera de Rondonia
Querência	Querência	Querencia
Redenção,_Pará	Redenção (Pará)	Redençao
Reserva_do_Cabaçal	Reserva do Cabaçal	Reserva do Cabaçal
Riachinho,_Tocantins	Riachinho (Tocantins)	Riachinho
Ribeirão_Cascalheira	Ribeirão Cascalheira	Ribeirao Cascalheira
Rio_Branco,_Acre	Rio Branco	Rio Branco
Rio_Crespo	Rio Crespo	Rio Crespo
Rio_Maria,_Pará	Rio Maria	Rio Maria
Rio_Preto_da_Eva	Rio Preto da Eva	Rio Preto da Eva
Rodrigues_Alves,_Acre	Rodrigues Alves (Acre)	Rodrigues Alves
Rolim_de_Moura	Rolim de Moura	Rolim de Moura
Rondolândia	Rondolândia	Rondolandia
Rondon_do_Pará	Rondon do Pará	Rondon do Para
Rorainópolis	Rorainópolis	Rorainopolis
Rosário,_Maranhão	Rosário (Maranhão)	Rosario
Rurópolis	Rurópolis	Ruropolis
Salinópolis	Salinópolis	Salinopolis
Salto_do_Céu	Salto do Céu	Salto do Ceu
Santa_Bárbara_do_Pará	Santa Bárbara do Pará	Santa Barbara do Para
Santa_Carmem	Santa Carmem	Santa Carmem
Santa_Cruz_do_Xingu	Santa Cruz do Xingu	Santa Cruz do Xingu
Santa_Fé_do_Araguaia	Santa Fé do Araguaia	Santa Fe do Araguaia
Santa_Helena,_Maranhão	Santa Helena (Maranhão)	Santa Helena
Santa_Isabel_do_Rio_Negro	Santa Isabel do Rio Negro	Santa Isabel do Rio Negro
Santa_Luzia,_Maranhão	Santa Luzia (Maranhão)	Santa Luzia
Santa_Luzia_d'Oeste	Santa Luzia d'Oeste	Santa Luzia D'oeste
Santa_Maria_das_Barreiras	Santa Maria das Barreiras	Santa Maria das Barreiras
Santa_Rita,_Maranhão	Santa Rita (Maranhão)	Santa Rita
Santa_Rosa_do_Purus	Santa Rosa do Purus	Santa Rosa do Purus
Santa_Terezinha_do_Tocantins	Santa Terezinha do Tocantins	Santa Terezinha
Santana_do_Araguaia	Santana do Araguaia	Santana do Araguaia
Santarém,_Pará	Santarém (Pará)	Santarem
Santo Afonso (Mato Grosso)	Santo Afonso	Santo Afonso
Santo_Antônio_do_Içá	Santo Antônio do Içá	Santo Antonio do Iça
Santo_Antônio_do_Leverger	Santo Antônio de Leverger	Santo Antonio do Leverger
São_Domingos_do_Araguaia	São Domingos do Araguaia	Sao Domingos do Araguaia
São_Domingos_do_Capim	São Domingos do Capim	Sao Domingos do Capim
São_Felipe_d'Oeste	São Felipe d'Oeste	Sao Felipe D'oeste
São_Félix_do_Araguaia	São Félix do Araguaia	Sao Felix do Araguaia
São_Félix_do_Xingu	São Félix do Xingu	Sao Felix do Xingu
São_Francisco_do_Brejão	São Francisco do Brejão	Sao Francisco do Brejao
São_Francisco_do_Guaporé	São Francisco do Guaporé	Sao Francisco do Guapore
São_Gabriel_da_Cachoeira	São Gabriel da Cachoeira	Sao Gabriel da Cachoeira
São_Geraldo_do_Araguaia	São Geraldo do Araguaia	Sao Geraldo do Araguaia
São_João_da_Baliza	São João da Baliza	Sao Joao da Baliza
São_João_de_Pirabas	São João de Pirabas	Sao Joao de Pirabas
São_João_do_Araguaia	São João do Araguaia	Sao Joao do Araguaia
São_João_do_Carú	São João do Caru	Sao Joao do Caru
São_José_de_Ribamar	São José de Ribamar	Sao Jose de Ribamar
São_José_do_Rio_Claro	São José do Rio Claro	Sao Jose do Rio Claro
São_José_do_Xingu	São José do Xingu	Sao Jose do Xingu
São_Luís,_Maranhão	São Luís (Maranhão)	Sao Luis
São_Luiz,_Roraima	São Luís (Roraima)	Sao Luiz
São_Miguel_do_Guaporé	São Miguel do Guaporé	Sao Miguel do Guapore
São_Paulo_de_Olivença	São Paulo de Olivença	Sao Paulo de Olivença
